stock_symbol,date,open,high,low,close,adj_close,volume
IBM,26-02-2010,121.424477,122.370934,121.166351,121.567879,78.416222,5004273
IBM,01-03-2010,121.892921,123.164436,121.864243,122.915871,79.285713,4788274
IBM,02-03-2010,123.040154,123.413002,121.5392,121.816444,78.57653,6289912
IBM,03-03-2010,122.112808,122.39006,121.108986,121.300194,78.243553,6683940
IBM,04-03-2010,121.481834,121.481834,119.952202,121.147224,78.144867,6309786
IBM,05-03-2010,121.577438,121.940727,121.453156,121.653923,78.471718,6422649
IBM,08-03-2010,121.472275,121.892921,120.803062,120.850861,77.953735,6484468
IBM,09-03-2010,120.717018,120.736137,119.694077,120.028679,77.423378,7875125
IBM,10-03-2010,120.449333,120.803062,119.703636,120.095604,77.466568,7234345
IBM,11-03-2010,120.181641,122.189293,120.181641,121.988525,78.687569,8286621
IBM,12-03-2010,122.284897,122.724663,121.902489,122.313576,78.897217,5407297
IBM,15-03-2010,121.797325,122.695984,121.682602,122.208412,78.829391,4704594
IBM,16-03-2010,122.370934,123.212234,121.845123,123.011475,79.347389,6417105
IBM,17-03-2010,123.231361,123.26004,121.759079,122.141495,78.786247,6640426
IBM,18-03-2010,121.854683,123.087952,121.845123,122.734222,79.168549,5182302
IBM,19-03-2010,122.093689,123.26004,121.20459,122.093689,78.755394,11238538
IBM,22-03-2010,121.520073,122.74379,121.003822,122.351814,78.921906,5911887
IBM,23-03-2010,122.313576,123.738052,122.026772,123.680687,79.77906,6253511
IBM,24-03-2010,122.973228,124.235184,122.820267,122.877632,79.261055,6976088
IBM,25-03-2010,123.671127,124.980881,123.451241,123.556404,79.698898,7952947
IBM,26-03-2010,123.26004,124.072655,123.059273,123.575523,79.711243,5806137
IBM,29-03-2010,123.61377,124.235184,122.619499,122.93499,79.298073,4856578
IBM,30-03-2010,123.231361,123.451241,122.60994,123.107079,79.409073,3584224
IBM,31-03-2010,122.59082,123.087952,122.036331,122.60994,79.088379,5130421
IBM,01-04-2010,123.27916,123.623329,121.940727,122.60994,79.088379,5209603
IBM,05-04-2010,122.734222,124.091782,122.504784,123.661568,79.766739,4308160
IBM,06-04-2010,123.021034,123.61377,122.418739,123.26004,79.507744,4106910
IBM,07-04-2010,122.877632,123.585083,122.380501,122.829826,79.230225,5394222
IBM,08-04-2010,122.40918,122.59082,121.606117,121.998085,78.693726,6283217
IBM,09-04-2010,122.25621,123.202675,121.52964,123.097511,79.402878,5423615
IBM,12-04-2010,122.915871,123.288719,122.60038,122.715103,79.156227,4175946
IBM,13-04-2010,122.619499,123.738052,122.217972,123.355644,79.569405,7132779
IBM,14-04-2010,124.024857,125.640533,123.766731,125.478012,80.938423,8938907
IBM,15-04-2010,124.789673,125.372849,124.46463,125.133842,80.716423,6720864
IBM,16-04-2010,124.933075,126.357552,124.521988,124.885277,80.556076,9985325
IBM,19-04-2010,124.646271,126.462715,124.646271,126.414917,81.542763,11875970
IBM,20-04-2010,123.518166,124.598473,122.619499,123.986618,79.976425,15916459
IBM,21-04-2010,124.158699,124.541107,122.848946,123.317398,79.544731,7906923
IBM,22-04-2010,122.982796,123.671127,122.151054,123.451241,79.631073,6295351
IBM,23-04-2010,123.403442,124.378586,123.049713,124.273422,80.161407,6482376
IBM,26-04-2010,124.053535,125.277245,123.843208,124.980881,80.617775,5528528
IBM,27-04-2010,124.187378,126.19503,123.049713,123.154877,79.439911,11418868
IBM,28-04-2010,123.709366,124.732315,123.355644,124.378586,80.229233,7449926
