stock_symbol,date,open,high,low,close,adj_close,volume
CRM,04-01-2010,18.6525,18.8825,18.547501,18.705,18.705,7906000
CRM,05-01-2010,18.612499,18.75,18.200001,18.625,18.625,7942400
CRM,06-01-2010,18.6875,18.75,18.495001,18.592501,18.592501,5122400
CRM,07-01-2010,18.629999,18.737499,18.385,18.51,18.51,4840000
CRM,08-01-2010,18.5175,18.5875,18.315001,18.5375,18.5375,5510400
CRM,11-01-2010,18.65,18.674999,18.1975,18.4125,18.4125,6399200
CRM,12-01-2010,17.610001,17.622499,17.065001,17.0725,17.0725,21053200
CRM,13-01-2010,17.07,17.1975,16.7425,17.125,17.125,20649600
CRM,14-01-2010,17.122499,17.432501,17.122499,17.297501,17.297501,10400400
CRM,15-01-2010,17.262501,17.387501,17.025,17.157499,17.157499,8564800
CRM,19-01-2010,17.147499,17.467501,17.0375,17.375,17.375,6252800
CRM,20-01-2010,17.200001,17.2925,16.875,17.137501,17.137501,7260000
CRM,21-01-2010,17.155001,17.379999,16.6525,16.719999,16.719999,8946000
CRM,22-01-2010,16.682501,16.735001,16.09,16.135,16.135,8788800
CRM,25-01-2010,16.370001,16.4025,15.8675,16.032499,16.032499,9866800
CRM,26-01-2010,16.040001,16.545,15.8375,16.352501,16.352501,10367200
CRM,27-01-2010,16.352501,16.415001,16.0975,16.35,16.35,5947600
CRM,28-01-2010,16.307501,16.325001,15.86,16.040001,16.040001,5684400
CRM,29-01-2010,16.202499,16.290001,15.8,15.8875,15.8875,6281200
CRM,01-02-2010,16.004999,16.32,15.9125,16.295,16.295,5632000
CRM,02-02-2010,16.3125,16.3925,16.022499,16.264999,16.264999,4664400
CRM,03-02-2010,16.200001,16.557501,16.1,16.405001,16.405001,4725600
CRM,04-02-2010,16.209999,16.272499,15.4575,15.6075,15.6075,11797200
CRM,05-02-2010,15.6225,15.625,15.075,15.52,15.52,12440800
CRM,08-02-2010,15.5225,15.76,15.3075,15.53,15.53,5062400
CRM,09-02-2010,15.67,16.225,15.67,16.165001,16.165001,9099200
CRM,10-02-2010,16.195,16.225,16.0075,16.182501,16.182501,6855200
CRM,11-02-2010,16.192499,16.5275,15.955,16.49,16.49,6448800
CRM,12-02-2010,16.3575,16.415001,16.047501,16.272499,16.272499,8150000
CRM,16-02-2010,16.3675,16.612499,16.327499,16.549999,16.549999,5511200
CRM,17-02-2010,16.557501,16.83,16.557501,16.695,16.695,6672400
CRM,18-02-2010,16.915001,17.235001,16.8575,17.112499,17.112499,8361600
CRM,19-02-2010,17.030001,17.372499,17.004999,17.23,17.23,7196800
CRM,22-02-2010,17.327499,17.3825,17.174999,17.26,17.26,5123600
CRM,23-02-2010,17.182501,17.3475,16.975,17.059999,17.059999,5597200
CRM,24-02-2010,17.08,17.504999,17.022499,17.360001,17.360001,10460400
CRM,25-02-2010,17.2075,17.209999,16.192499,17.002501,17.002501,19942400
CRM,26-02-2010,16.815001,17.0175,16.625,16.987499,16.987499,10079600
CRM,01-03-2010,16.934999,17.8475,16.879999,17.725,17.725,10422000
CRM,02-03-2010,17.6975,18.0875,17.657499,17.959999,17.959999,8080800
CRM,03-03-2010,17.9925,18.07,17.622499,17.6425,17.6425,5988000
CRM,04-03-2010,17.674999,17.7325,17.5,17.7225,17.7225,5519200
CRM,05-03-2010,17.799999,18.247499,17.799999,18.07,18.07,6999200
CRM,08-03-2010,18.08,18.405001,18.030001,18.237499,18.237499,5848800
CRM,09-03-2010,18.0175,18.549999,17.969999,18.42,18.42,9360000
CRM,10-03-2010,18.4125,18.85,18.405001,18.797501,18.797501,8216000
CRM,11-03-2010,18.702499,18.875,18.639999,18.855,18.855,6578000
CRM,12-03-2010,18.934999,19.094999,18.7775,18.9275,18.9275,4140400
CRM,15-03-2010,18.852501,18.940001,18.637501,18.9,18.9,5657200
CRM,16-03-2010,18.870001,19.272499,18.855,19.172501,19.172501,7889200
CRM,17-03-2010,19.2225,19.372499,19.0825,19.184999,19.184999,5502800
CRM,18-03-2010,19.172501,19.362499,19.110001,19.227501,19.227501,5493600
CRM,19-03-2010,19.004999,19.375,18.91,19.004999,19.004999,6185600
CRM,22-03-2010,18.682501,19.495001,18.647499,19.377501,19.377501,6491600
CRM,23-03-2010,19.415001,19.445,19.112499,19.275,19.275,4934800
CRM,24-03-2010,19.147499,19.3025,18.987499,19.040001,19.040001,4733600
CRM,25-03-2010,19.17,19.389999,18.987499,18.9925,18.9925,5840800
CRM,26-03-2010,19.049999,19.075001,18.657499,18.737499,18.737499,4206400
CRM,29-03-2010,18.8025,18.8575,18.615,18.692499,18.692499,4227200
CRM,30-03-2010,18.799999,19.125,18.692499,18.852501,18.852501,7784000
CRM,31-03-2010,18.8225,18.879999,18.5725,18.612499,18.612499,4547200
CRM,01-04-2010,18.780001,19.025,18.67,18.885,18.885,4212800
CRM,05-04-2010,18.977501,19.237499,18.969999,19.2125,19.2125,3449200
CRM,06-04-2010,19.102501,19.860001,19.032499,19.7075,19.7075,9928800
CRM,07-04-2010,19.700001,19.700001,19.17,19.295,19.295,7023600
CRM,08-04-2010,19.1775,19.525,19.040001,19.487499,19.487499,6352800
CRM,09-04-2010,19.639999,19.9725,19.352501,19.942499,19.942499,7682400
CRM,12-04-2010,19.997499,20.307501,19.872499,20.127501,20.127501,9838000
CRM,13-04-2010,20.09,20.1675,19.92,20.1075,20.1075,5231600
CRM,14-04-2010,20.4825,20.9925,20.415001,20.967501,20.967501,8835600
CRM,15-04-2010,20.997499,21.0975,20.7775,20.932501,20.932501,5531600
CRM,16-04-2010,20.91,21.23,20.754999,20.870001,20.870001,9941200
CRM,19-04-2010,20.7575,20.9625,20.25,20.6625,20.6625,7141600
CRM,20-04-2010,20.895,21.155001,20.7575,21.120001,21.120001,4295200
CRM,21-04-2010,21.209999,21.297501,20.987499,21.27,21.27,6288800
CRM,22-04-2010,21.2125,22.355,21,22.174999,22.174999,10038800
CRM,23-04-2010,22.122499,22.295,21.625,22.040001,22.040001,6087600
CRM,26-04-2010,22.1625,22.375,22.047501,22.122499,22.122499,3881600
CRM,27-04-2010,22.297501,22.297501,21.385,21.452499,21.452499,5118400
CRM,28-04-2010,21.612499,21.615,21.202499,21.5375,21.5375,5870800
CRM,29-04-2010,21.7075,22.0875,21.5725,22.035,22.035,4074400
CRM,30-04-2010,22.1,22.1,21.375,21.4,21.4,4456800
CRM,03-05-2010,21.52,22.067499,21.4375,21.93,21.93,4634000
CRM,04-05-2010,22.25,22.3225,21.3325,21.647499,21.647499,9104800
CRM,05-05-2010,21.375,21.610001,21.157499,21.305,21.305,7292400
CRM,06-05-2010,21.2425,21.535,19,20.225,20.225,16295200
CRM,07-05-2010,20.2425,20.3475,19.045,19.379999,19.379999,13885600
CRM,10-05-2010,20.6175,21.395,20.540001,21.372499,21.372499,11520800
CRM,11-05-2010,20.99,21.975,20.9575,21.549999,21.549999,10001200
CRM,12-05-2010,21.709999,22.139999,21.709999,22.1,22.1,9828400
CRM,13-05-2010,22.1,22.459999,21.6075,21.67,21.67,11328400
CRM,14-05-2010,21.504999,21.567499,20.8225,21.18,21.18,7905200
CRM,17-05-2010,21.379999,21.695,20.625,21.309999,21.309999,6710000
CRM,18-05-2010,21.75,21.9175,20.844999,21.040001,21.040001,7692800
CRM,19-05-2010,20.7125,20.934999,19.940001,20.4,20.4,10582400
CRM,20-05-2010,19.719999,20.317499,19.4725,19.7575,19.7575,17455600
CRM,21-05-2010,18.485001,21.0175,18.477501,20.809999,20.809999,43596800
CRM,24-05-2010,20.5825,21.254999,20.530001,20.547501,20.547501,9276000
CRM,25-05-2010,20.004999,20.5625,19.700001,20.532499,20.532499,11385600
CRM,26-05-2010,20.690001,21.4475,20.615,20.9375,20.9375,12684800
CRM,27-05-2010,21.4175,21.75,21.344999,21.75,21.75,10038000
CRM,28-05-2010,21.567499,21.875,21.34,21.6325,21.6325,9415600
CRM,01-06-2010,21.077499,21.7425,21.077499,21.2225,21.2225,8402400
CRM,02-06-2010,21.4825,22.110001,21.192499,22.110001,22.110001,7461600
CRM,03-06-2010,22.35,23.945,22.317499,23.799999,23.799999,26548800
CRM,04-06-2010,23.125,24.0875,22.184999,22.41,22.41,25813600
CRM,07-06-2010,22.52,22.872499,21.905001,21.975,21.975,10798400
CRM,08-06-2010,22.275,22.434999,21.594999,22,22,14485600
CRM,09-06-2010,22.290001,22.9825,22.1425,22.254999,22.254999,9701200
CRM,10-06-2010,22.84,23.1625,22.584999,23.105,23.105,9740000
CRM,11-06-2010,22.622499,24.217501,22.622499,24.16,24.16,14185600
CRM,14-06-2010,24.237499,24.272499,23.3225,23.375,23.375,15007600
CRM,15-06-2010,23.577499,23.905001,23.3575,23.752501,23.752501,13090400
CRM,16-06-2010,23.555,23.7675,23.282499,23.584999,23.584999,10197200
CRM,17-06-2010,23.7425,24.395,23.5825,24.275,24.275,14103200
CRM,18-06-2010,24.219999,24.25,23.8375,23.93,23.93,10055600
CRM,21-06-2010,24.35,24.485001,23.6425,23.852501,23.852501,11048400
CRM,22-06-2010,23.725,23.952499,22.8325,22.975,22.975,13329600
CRM,23-06-2010,23.1875,23.450001,22.690001,23.235001,23.235001,11338400
CRM,24-06-2010,23.377501,23.41,22.5975,22.76,22.76,11480400
CRM,25-06-2010,22.952499,22.995001,22.42,22.905001,22.905001,8297200
CRM,28-06-2010,22.9725,23.0825,22.717501,22.82,22.82,6393200
CRM,29-06-2010,22.4275,22.4275,21.125,21.352501,21.352501,15199200
CRM,30-06-2010,21.264999,21.8925,21.2225,21.455,21.455,15501600
CRM,01-07-2010,21.415001,21.905001,20.9025,21.7675,21.7675,13087200
CRM,02-07-2010,21.83,22.237499,21.59,21.7775,21.7775,9820800
CRM,06-07-2010,22.205,22.5425,21.737499,22.0275,22.0275,10732400
CRM,07-07-2010,22.002501,22.870001,21.9475,22.844999,22.844999,11062000
CRM,08-07-2010,23.2225,23.27,22.525,22.8925,22.8925,7910800
CRM,09-07-2010,22.855,23.092501,22.73,22.945,22.945,4437200
